sizeMap; possibleActions; possibleStates; initialQValues; learningMethod; selectionMethod; numberOfTasks; numberOfEpisodes; softmax_baselineUsed; softmax_temperature; UCB_c; eGreedy_epsilon_initial; eGreedy_epsilon_final; qLearning_alpha; qLearning_gamma; qLearning_lambda; taskNumber; episodeNumber; episodeStepTime; optimalAction; lastState; actionInLastState; newState; averageReward; RMS; percentageOfChosenOptimalActionsPerEpisode; percentageOfChosenActionsPerEpisode; victories;
;;;;;;;;;;;;;;;;39;20;607;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;LEFT_DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;0.8;-1.0;2.7960526315789473;39.80263_1.31579_8.05921_3.125_35.36184_5.26316_4.27632_2.79605;1;
;;;;;;;;;;;;;;;;39;21;124;LEFT_UP;VIDA_BAJA_ZONA_EMBOSCADA_1.0_1.0;DOWN;ZONA_EMBOSCADA_AGENTE_DESTRUIDO_1.0_1.0;-0.9;-1.0;4.8;9.6_2.4_34.4_3.2_11.2_2.4_32.0_4.8;0;
;;;;;;;;;;;;;;;;39;22;258;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_2.0_2.0;LEFT_DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_2.0_2.0;-0.7;-1.0;13.127413127413128;3.861_27.02703_8.49421_5.79151_13.89961_23.93822_3.861_13.12741;0;
;;;;;;;;;;;;;;;;39;23;52;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_2.0_2.0;DOWN;RECIBIENDO_ATAQUE_AEREO_ZONA_ATAQUE_AGENTE_DESTRUIDO_2.0_2.0;-0.8;-1.0;18.867924528301888;13.20755_7.54717_15.09434_16.98113_11.32075_9.43396_7.54717_18.86792;0;
;;;;;;;;;;;;;;;;39;24;267;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;LEFT_DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;0.9;-1.0;0.746268656716418;41.79104_2.98507_7.46269_0.0_37.68657_7.46269_1.86567_0.74627;1;
;;;;;;;;;;;;;;;;39;25;3012;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;LEFT;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;0.8;-1.0;0.4646531695984069;2.05775_40.55758_6.67109_0.82974_1.85861_40.32526_7.23531_0.46465;1;
;;;;;;;;;;;;;;;;39;26;352;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_2.0_2.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_2.0_2.0;-0.6000000000000001;-1.0;3.68271954674221;30.5949_0.84986_27.76204_4.24929_4.24929_26.34561_2.26629_3.68272;0;
;;;;;;;;;;;;;;;;39;27;40;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_2.0_2.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_2.0_2.0;-0.5;-1.0;4.878048780487805;24.39024_7.31707_21.95122_0.0_21.95122_12.19512_7.31707_4.87805;0;
;;;;;;;;;;;;;;;;39;28;29;LEFT_UP;VIDA_BAJA_ZONA_EMBOSCADA_1.0_1.0;UP;ZONA_EMBOSCADA_AGENTE_DESTRUIDO_1.0_1.0;-0.9;-1.0;6.666666666666667;20.0_13.33333_13.33333_3.33333_23.33333_6.66667_13.33333_6.66667;0;
;;;;;;;;;;;;;;;;39;29;329;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_2.0_2.0;LEFT_DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_2.0_2.0;-0.30000000000000004;-1.0;4.848484848484849;35.45455_3.63636_5.75758_6.9697_32.12121_4.54545_6.66667_4.84848;0;
